mutant_id,class,method,line,mutator,F2P_transition,P2F_transition,P2P_transition,F2F_transition,exception_type_transition,exception_msg_transition,stacktrace_transition,status,num_tests_run
0,org.apache.commons.lang3.StringUtils,isBlank,260,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000000000000000000000000000000000000000000000000000000000000000000000000000,10101111111111111111111111111111111111111111111111111111111111111111111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000000000000000000000000000000000000000000000000000000000000000000000000000,00010000000000000000000000000000000000000000000000000000000000000000000000000000,00010000000000000000000000000000000000000000000000000000000000000000000000000000,KILLED,173
1,org.apache.commons.lang3.StringUtils,isBlank,260,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000001000000000000000000000000000000000000000000000000000000000000000,10111111111111110111111111111111111111111111111111111111111111111111111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000001000000000000000000000000000000000000000000000000000000000000000,00000000000000001000000000000000000000000000000000000000000000000000000000000000,00000000000000001000000000000000000000000000000000000000000000000000000000000000,KILLED,173
2,org.apache.commons.lang3.StringUtils,isBlank,262,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,10101111101111010011111111111111111111111111111111111111111111111110111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,KILLED,173
3,org.apache.commons.lang3.StringUtils,isBlank,257,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,10101111101111010011111111111111111111111111111111111111111111111110111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,KILLED,173
4,org.apache.commons.lang3.StringUtils,isBlank,257,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,10101111101111010011111111111111111111111111111111111111111111111110111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,KILLED,173
5,org.apache.commons.lang3.StringUtils,isBlank,260,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,10101111101111010011111111111111111111111111111111111111111111111110111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,KILLED,173
6,org.apache.commons.lang3.StringUtils,isBlank,261,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,10101111101111010011111111111111111111111111111111111111111111111110111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,KILLED,173
7,org.apache.commons.lang3.StringUtils,isBlank,257,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,10101111101111010011111111111111111111111111111111111111111111111110111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,01010000010000101100000000000000000000000000000000000000000000000001000000000000,KILLED,173
8,org.apache.commons.lang3.StringUtils,isBlank,261,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111111111111111111111111111111111111111111111111111111111111111111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000,SURVIVED,173
9,org.apache.commons.lang3.StringUtils,isBlank,261,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000,10111111111111111111111111111111111111111111111111111111111111111111111111111111,01000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000,SURVIVED,173
